vacancy_name,company_name,latitude,longitude,district,vacancy_url
B2B yo'nalishidagi Sotuv menejerlari kerak,IT TA`LIM BERISH MARKAZI USTUDY,41.34224954071061,69.33692913988085,Mirzo Ulugbek,https://hh.ru/vacancy/128628535
Менеджер отдела продаж (IT-интегратор),Omni System,41.330519,69.305222,Mirzo Ulugbek,https://hh.ru/vacancy/127880191
Аналитик данных (Data analyst) в управление организации и проведения процессов переписи,Национальный комитет Республики Узбекистан по статистике,41.325299,69.318571,Mirzo Ulugbek,https://hh.ru/vacancy/128851604
Graphic Designer,Genesis Group AG,NULL,NULL,Ташкент,https://hh.ru/vacancy/128097004
Medical Advisor,Abbott,41.291472,69.280285,Mirabad,https://hh.ru/vacancy/128670822
Senior Procurement Manager – US Trucking Company,LONGHORN GROUP,NULL,NULL,Ташкент,https://hh.ru/vacancy/127963773
Региональный менеджер по продажам,FAMALL DEVELOPMENT INTERNATIONAL,NULL,NULL,Ташкент,https://hh.ru/vacancy/128504644
Специалист группы мониторинга (IT Monitoring Specialist),HUMANS LAB,41.306592,69.303057,Yashnabad,https://hh.ru/vacancy/127921111
Администратор/Сотрудник по работе с клиентами,LLI LANGUAGE SERVICES PTE,41.275365,69.245358,Yakkasaray,https://hh.ru/vacancy/128863349
Руководитель проекта по разработке месторождений / Менеджер по минеральным ресурсам,ИП ООО SINOMA GBM,41.2874,69.255249,Yakkasaray,https://hh.ru/vacancy/128265043
Administrator,IT TA`LIM BERISH MARKAZI USTUDY,41.34224954071061,69.33692913988085,Mirzo Ulugbek,https://hh.ru/vacancy/128718880
Бизнес-аналитик,IPOST,41.26,69.223799,Yakkasaray,https://hh.ru/vacancy/128785764
Technical Product Owner (TPO),Itransition,NULL,NULL,Ташкент,https://hh.ru/vacancy/126108973
Преподаватель Machine Learning,Alif Uzbekistan,41.314524,69.244603,Shaykhantahur,https://hh.ru/vacancy/128731143
Senior Content Manager / SMM Lead,SOCIALTECH,41.29256,69.28569,Mirabad,https://hh.ru/vacancy/127911831
Event Coordinator,BYD CENTRAL ASIA OOO,41.293477,69.278147,Mirabad,https://hh.ru/vacancy/127633715
Strong Junior Test Automation Engineer (OpenWeb),Sigma Sweden Software AB,41.295618,69.282054,Mirabad,https://hh.ru/vacancy/128644649
Специалист по IT технологиям и програмист,TMC Institute,41.281986,69.236555,Yakkasaray,https://hh.ru/vacancy/127867518
Бренд-менеджер В2С Uzum Bank,«UZUM TECHNOLOGIES»,41.31852,69.299095,Mirzo Ulugbek,https://hh.ru/vacancy/127840522
Главный бухгалтер,ABRAMYAN HR GROUP,41.319773,69.263064,Shaykhantahur,https://hh.ru/vacancy/127972586
Проектный менеджер (Project Manager),Consort Group,NULL,NULL,Ташкент,https://hh.ru/vacancy/127978242
UX/UI-дизайнер,Udevs,41.355866,69.28792,Yunusabad,https://hh.ru/vacancy/127972327
Инженер по информационной безопасности,PRO DATA,NULL,NULL,Ташкент,https://hh.ru/vacancy/128850894
Руководитель отдела продаж,DEVELOPMENT LEADERS SCHOOL,41.428722,69.488379,Ташкент,https://hh.ru/vacancy/128497524
Risk Analyst (Octane),Citi Fuel (ООО Staff Atlantic),41.327872,69.250991,Shaykhantahur,https://hh.ru/vacancy/127835672
Account Manager,DEEPEN,41.276083,69.255994,Yakkasaray,https://hh.ru/vacancy/128720452
Менеджер продукта,СП ООО IST TELEKOM,41.303856,69.321526,Yashnabad,https://hh.ru/vacancy/126340482
Door to Door Sales Specialist,ZHONGKE RUIHE NEW ENERGY INTERNATIONAL TECHNOLOGY,41.290001,69.220142,Chilanzar,https://hh.ru/vacancy/128816683
Communication designer,GROUP-IB TSHK,NULL,NULL,Ташкент,https://hh.ru/vacancy/127838356
Sales Representative LT Cable,LT CABLE,41.28828,69.258375,Yakkasaray,https://hh.ru/vacancy/128825817
Старший системный аналитик,HamkorBank,41.353063,69.23845,Almazar,https://hh.ru/vacancy/128868251
Бухгалтер,TIAN FENG DEVELOPMENT,41.306924,69.235917,Shaykhantahur,https://hh.ru/vacancy/128477857
HR intern,ACWA POWER TECHNICAL AND FINANCIAL SERVICES,41.337283,69.282333,Yunusabad,https://hh.ru/vacancy/128774497
Главный бухгалтер микрофинансовой организации,AVO.UZ,41.294297,69.282836,Mirabad,https://hh.ru/vacancy/127406565
Chemist,ZUMA - PHARMA,NULL,NULL,Ташкент,https://hh.ru/vacancy/127180992
Специалист по Onboarding/Менеджер по работе с клиентами,LINKTRADE,41.3346311,69.3269478,Mirzo Ulugbek,https://hh.ru/vacancy/127533512
Мастер-установщик Wi-Fi (Алмазарский рн),ЧП TURON MEDIA,NULL,NULL,Ташкент,https://hh.ru/vacancy/125739353
Product Owner,Lincoln Labs,41.30292946083057,69.31479686871675,Yashnabad,https://hh.ru/vacancy/128048199
Environmental and Social Safeguard Specialist,ГУ O‘ZBEKISTON RESPUBLIKASI MAKTABGACHA VA MAKTAB TA'LIMI VAZIRLIGI,NULL,NULL,Ташкент,https://hh.ru/vacancy/128629209
Продуктовый маркетолог,DORISON GROUP,41.322739,69.282773,Yunusabad,https://hh.ru/vacancy/128672636
Офис-менеджер (секретарь руководителя),EAN KOR DEVELOPMENT,41.331562,69.269029,Shaykhantahur,https://hh.ru/vacancy/128444442
"Specialist in social, gender issues, and resettlement in international projects",ANNEXURE,41.32622,69.32692,Mirzo Ulugbek,https://hh.ru/vacancy/128431966
Senior Data Scientist,АО Асакабанк,41.310961,69.24675,Chilanzar,https://hh.ru/vacancy/128738313
Консультант 1С в ИТС,VENKON,41.30293410580156,69.31479201053439,Yashnabad,https://hh.ru/vacancy/124799956
DevOps Engineer,Itransition,NULL,NULL,Ташкент,https://hh.ru/vacancy/128587056
Оператор Службы технической поддержки,DIGITAL RESTAURANT,41.339463,69.259776,Shaykhantahur,https://hh.ru/vacancy/128757403
Uzbek-Speaking Social Media Executive,XM,NULL,NULL,Ташкент,https://hh.ru/vacancy/128709719
Billing agent,Citi Fuel (ООО Staff Atlantic),NULL,NULL,Ташкент,https://hh.ru/vacancy/124403782
Head of Accounts Receivable,Citi Fuel (ООО Staff Atlantic),NULL,NULL,Ташкент,https://hh.ru/vacancy/126783853
Senior Cybersecurity consultant,ООО «KPMG AUDIT»,41.337283,69.282333,Yunusabad,https://hh.ru/vacancy/128732807
Customer Support Executive - Uzbek speaker (to Malaysia),EXNESS Global Limited,3.153784,101.70811,Ташкент,https://hh.ru/vacancy/128068365
Product Owner (мобильная разработка) г. Ташкент,CLICK,NULL,NULL,Ташкент,https://hh.ru/vacancy/127901900
Рекрутер,Darian Electronics (ООО MERAS TRADE CO),41.31489,69.23548,Shaykhantahur,https://hh.ru/vacancy/127621134
QA Тестировщик,Digital Camp,41.329463,69.263567,Shaykhantahur,https://hh.ru/vacancy/128604797
Financial Management Specialist,ГУ O‘ZBEKISTON RESPUBLIKASI MAKTABGACHA VA MAKTAB TA'LIMI VAZIRLIGI,41.322116,69.267502,Shaykhantahur,https://hh.ru/vacancy/128137814
Product Owner,АО ANOR BANK,NULL,NULL,Ташкент,https://hh.ru/vacancy/128767707
Middle Data Engineer (AWS),ZLATA GREENPRODUCT,NULL,NULL,Ташкент,https://hh.ru/vacancy/128397588
PR Manager,TA`LIM PORTALI,NULL,NULL,Ташкент,https://hh.ru/vacancy/128504240
Sales Manager of the Airlines tickets in the United States,KASH NETWORKS,NULL,NULL,Ташкент,https://hh.ru/vacancy/128398847
Специалист Service Desk,AVO.UZ,41.294297,69.282836,Mirabad,https://hh.ru/vacancy/128246389
Стажер,Winncom Technologies CA,41.282338,69.264411,Yakkasaray,https://hh.ru/vacancy/128828161
Главный специалист департамента информационной безопасности,Национальный межбанковский процессинговый центр,41.305204,69.335199,Yashnabad,https://hh.ru/vacancy/128856490
Bitrix UI-верстальщик (контент + правки дизайна),ИП ООО DIVI GROUP,41.316244,69.252625,Shaykhantahur,https://hh.ru/vacancy/128326389
Менеджер по работе с действующими ключевыми клиентами,Green White Solutions,41.31120267888242,69.23850701410878,Shaykhantahur,https://hh.ru/vacancy/126633973
Руководитель R&D,Sika,41.294466,69.156569,Uchtepa,https://hh.ru/vacancy/128747907
Главный специалист Департамента транзакционного бизнеса,АКБ Тенге Банк,41.315039,69.321158,Yashnabad,https://hh.ru/vacancy/125524686
"Supervisor/Manager, Actuarial Services and Insurance",ООО «KPMG AUDIT»,41.337283,69.282333,Yunusabad,https://hh.ru/vacancy/128704170
Смм менеджер,BEST ALBINO,41.251472,69.153892,Ташкент,https://hh.ru/vacancy/128865373
Специалист по поддержке интеграции (финтех Beepul),UNITEL LLC,41.34143748480611,69.33538625976188,Mirzo Ulugbek,https://hh.ru/vacancy/128774009
Системный аналитик,COSCOM ТМ Ucell,41.322163,69.283195,Yunusabad,https://hh.ru/vacancy/128851346
Эксперт/специалист информационной безопасности,ISTRA,NULL,NULL,Ташкент,https://hh.ru/vacancy/128858166
Qishloq xo‘jaligida sun’iy intellektni qo‘llash bo‘limi dasturchi,Министерство сельского хозяйства,41.360319,69.338774,Ташкент,https://hh.ru/vacancy/128757174
Technical Supervisor,ИП ООО JETOUR SOUEAST AUTOMOTIVE CENTRAL ASIAN,NULL,NULL,Ташкент,https://hh.ru/vacancy/122041552
Административный Менеджер со знанием английского языка / Administrative Manager,World e-Com,NULL,NULL,Ташкент,https://hh.ru/vacancy/128643819
Intern - Forensic - Strategy Risk & Transactions Department,Delоitte&Touche,41.320707,69.300191,Mirzo Ulugbek,https://hh.ru/vacancy/128733135
СТО (Chief Technology Officer),Global Solutions,41.29179,69.268157,Yakkasaray,https://hh.ru/vacancy/128237334
Financial Controller (Octane),Citi Fuel (ООО Staff Atlantic),41.327872,69.250991,Shaykhantahur,https://hh.ru/vacancy/127834871
Рекрутер,Creative people,41.279621,69.252859,Yakkasaray,https://hh.ru/vacancy/128587362
QA engineer (middle),UNITEL LLC,41.3416589,69.3350737,Mirzo Ulugbek,https://hh.ru/vacancy/127851925
Threat Hunter / Senior SOC Analyst (L3+),Ipotekabank OTP Group,41.31514,69.284309,Mirzo Ulugbek,https://hh.ru/vacancy/127838180
PROCUREMENT SPECIALIST,ГУ O‘ZBEKISTON RESPUBLIKASI MAKTABGACHA VA MAKTAB TA'LIMI VAZIRLIGI,41.322116,69.267502,Shaykhantahur,https://hh.ru/vacancy/128137504
Product Owner Assistant (Customer Support),Lincoln Labs,41.30292946083057,69.31479686871675,Yashnabad,https://hh.ru/vacancy/128148966
Refinance Analyst,Компания по рефинансированию ипотеки Узбекистана,41.336342,69.282432,Yunusabad,https://hh.ru/vacancy/128786293
DevOps-инженер,FlexSoft,41.30277508685682,69.31477924184047,Yashnabad,https://hh.ru/vacancy/127392307
Руководитель Call-центра,United IT Company,41.321174,69.2729,Yunusabad,https://hh.ru/vacancy/128690489
Venture Associate,UNITED VENTURES,41.2986,69.3383,Yashnabad,https://hh.ru/vacancy/128260103
SOC Quality & Compliance Lead,Ipotekabank OTP Group,41.315133,69.2843,Mirzo Ulugbek,https://hh.ru/vacancy/127838089
Analyst / modeller (trade and cargo transport),InfraEconomy Group,NULL,NULL,Ташкент,https://hh.ru/vacancy/128748512
Библиотекарь,НОУ TURKIYANING IQTISODIYOT VA TEXNOLOGIYALAR UNIVERSITETINING TOSHKENT SHAHRIDAGI FILIALI,41.305292,69.281767,Mirabad,https://hh.ru/vacancy/128116417
Менеджер по развитию бизнеса,1FIT-APP,41.301288,69.305833,Yashnabad,https://hh.ru/vacancy/128850980
Junior Data Analyst,Safia кондитерский дом,41.374754,69.27123,Yunusabad,https://hh.ru/vacancy/128775504
Ментор по математике для edtech-проекта / Edtech loyihasi uchun matematika bo‘yicha mentor,EDUCATEME,41.295787,69.256524,Yakkasaray,https://hh.ru/vacancy/128344763
Бизнес-ассистент (с китайским языком) (руководителя отдела развития),IPOST,41.26,69.223799,Yakkasaray,https://hh.ru/vacancy/128552310
Менеджер по продажам (телеком оборудование),NAGTECH,41.332876,69.320951,Mirzo Ulugbek,https://hh.ru/vacancy/128407386
Графический дизайнер в компанию Eriell Group,TEG Central Asia,41.253074552823804,69.1890162856992,Chilanzar,https://hh.ru/vacancy/128863528
Service Sales Respresentative,FE LLC Huawei Tech Investment Tashkent,41.295272,69.276125,Mirabad,https://hh.ru/vacancy/126783469
Оператор базы данных / call-центра,Quadrasoft,41.287732,69.256865,Yakkasaray,https://hh.ru/vacancy/128757007
Process & Compliance Coordinator,Citi Fuel (ООО Staff Atlantic),41.299852,69.271463,Mirabad,https://hh.ru/vacancy/127750590
Инженер технической поддержки 2 уровня,PROJECTS (GK Consulting),41.288064,69.299329,Mirabad,https://hh.ru/vacancy/128612511
Бизнес-аналитик,FlexSoft,41.301153,69.306461,Yashnabad,https://hh.ru/vacancy/127408950
Sales manager,ANSHIN MOTOR,41.320687,69.300272,Mirzo Ulugbek,https://hh.ru/vacancy/127566446
Sales Director,ИП ООО JETOUR SOUEAST AUTOMOTIVE CENTRAL ASIAN,NULL,NULL,Ташкент,https://hh.ru/vacancy/120347741
Product - менеджер канал HORECA,Unimix FMCG,41.25661,69.242088,Sergeli,https://hh.ru/vacancy/127997470
Менеджер по аренде жилья (обучаем с нуля + готовые клиенты),LOCUS DEVELOPMENT GROUP,41.28494,69.208662,Chilanzar,https://hh.ru/vacancy/127174527
SMM-менеджер,ALL EXPERT,41.320859373170585,69.2644146674931,Shaykhantahur,https://hh.ru/vacancy/128499353
Менеджер по работе с ключевыми клиентами (телеком оборудование),NAGTECH,41.332876,69.320951,Mirzo Ulugbek,https://hh.ru/vacancy/128407414
Оператор call-центра (без продаж),2GIS,41.326348,69.320215,Mirzo Ulugbek,https://hh.ru/vacancy/128172360
Оператор Сall-центра,IT CALL NAMANGAN,41.325387,69.316747,Mirzo Ulugbek,https://hh.ru/vacancy/128695772
SMM-менеджер/контент-менеджер,Creative people,41.279621,69.252859,Yakkasaray,https://hh.ru/vacancy/128506483
Директор текстильного производства (детская одежда),Vesbini,41.201345,69.159416,Ташкент,https://hh.ru/vacancy/128745956
Специалист по информационным технологиям,HAEMALAB,41.35434,69.22335,Almazar,https://hh.ru/vacancy/128865041
Retention Specialist,Citi Fuel (ООО Staff Atlantic),NULL,NULL,Ташкент,https://hh.ru/vacancy/125279056
Архитектор ИТ-инфраструктуры и облачных решений,ООО «KPMG AUDIT»,NULL,NULL,Ташкент,https://hh.ru/vacancy/128737108
Сетевой администратор,O`ZBEKENERGOTA`MIR,41.378056,69.373763,Ташкент,https://hh.ru/vacancy/128354328
Руководитель проектов,ABRAU Capital,41.29181,69.284219,Mirabad,https://hh.ru/vacancy/128242675
Видеограф / Оператор-монтажер,TENET-GROUP,41.302738,69.284803,Mirabad,https://hh.ru/vacancy/128667087
"QA Specialist (Manual, Web & Mobile Testing)",United IT Company,41.321174,69.2729,Yunusabad,https://hh.ru/vacancy/128117586
Инженер Juniper,MUK Computers,41.330418,69.284713,Yunusabad,https://hh.ru/vacancy/128117455
Инженер-технолог в пищевом производстве (по оборудованию),EAT GOOD,41.30459128902208,69.34995937878216,Yashnabad,https://hh.ru/vacancy/128702312
Regional MSME Banking Expert (Uzbekistan),Business & Finance Consulting (BFC),NULL,NULL,Ташкент,https://hh.ru/vacancy/128749376
Менеджер по продажам,GARMENT TEXTILE GROUP,41.200287,69.237615,Yangi hayot,https://hh.ru/vacancy/128654122
Медицинский представитель,Представительство PRO.MED.CS Praha a.s.,NULL,NULL,Ташкент,https://hh.ru/vacancy/127983549
English Language Teacher,TA`LIM PORTALI,41.472659,69.581229,Ташкент,https://hh.ru/vacancy/128161542
Тестировщик,Aros (Яратов Жавадбек Васил угли),NULL,NULL,Ташкент,https://hh.ru/vacancy/128673563
Procurement Manager,KANS COMFORT TORG,41.282235442352004,69.25347946791418,Yakkasaray,https://hh.ru/vacancy/128755107
CERT Analyst (Cybersecurity),GROUP-IB TSHK,41.322116,69.283995,Yunusabad,https://hh.ru/vacancy/128780129
Менеджер отдела продаж (эксперт) в Университет Искусственного Интеллекта,Tehnikum School,41.303131,69.267897,Mirabad,https://hh.ru/vacancy/128585699
FIELD FORCE MANAGER / NATIONAL SALES MANAGER,MUNOSAL,NULL,NULL,Ташкент,https://hh.ru/vacancy/128031181
Руководитель отдела сопровождения проектов в отраслях экономики,WATCHDOG,41.33129821981022,69.24958413428119,Almazar,https://hh.ru/vacancy/128818832
Фармацевт,SHAVKAT VA O'G'LI,41.283297480735044,69.3338386150093,Yashnabad,https://hh.ru/vacancy/128852493
Технолог кондитер,MUSA-SERVIS,41.35434,69.22335,Almazar,https://hh.ru/vacancy/127950646
Специалист службы поддержки пользователей,Kundalik,41.328434,69.279934,Yunusabad,https://hh.ru/vacancy/127254072
Продавец программ,ИП ООО ECOUNT SOFTWARE,41.296011,69.275506,Mirabad,https://hh.ru/vacancy/128567317
Личный ассистент операционного директора,United IT Company,41.321174,69.2729,Yunusabad,https://hh.ru/vacancy/128659164
Wise Marketer,Pulatov school,NULL,NULL,Ташкент,https://hh.ru/vacancy/128203198
Руководитель отдела продаж (РОП),Mars IT School,NULL,NULL,Ташкент,https://hh.ru/vacancy/128584772
AI Architect,Ipotekabank OTP Group,41.31514,69.284309,Mirzo Ulugbek,https://hh.ru/vacancy/127694608
Product Owner (B2C мобильное приложение),FlexSoft,41.301153,69.306461,Yashnabad,https://hh.ru/vacancy/127390848
Специалист по рекламе и PR,СП ООО JAC MOTORS TOSHKENT,41.310426,69.248179,Chilanzar,https://hh.ru/vacancy/128867882
Проект-менеджер,DAVR-SMART-SERVICE,41.197803,69.236222,Yangi hayot,https://hh.ru/vacancy/128857690
Sales Manager,ИП ООО “CHERAT CO.LTD” ( ТМ Globalink Logistics ),41.28126504404003,69.2615910096738,Yakkasaray,https://hh.ru/vacancy/126845877
Оператор Threat Intelligence,ONESEC,NULL,NULL,Ташкент,https://hh.ru/vacancy/128692268
UI/UX дизайнер,United IT Company,41.321174,69.2729,Yunusabad,https://hh.ru/vacancy/128222869
UX/UI-дизайнер,ASTERIUM,41.294717,69.278811,Mirabad,https://hh.ru/vacancy/128746226
Customer service/Менеджер по работе с клиентами,LESSO CA TRADING,40.79767,68.68407,Ташкент,https://hh.ru/vacancy/127919486
Продукт менеджер,INCOSMETIC ASIA,41.225,69.23673,Sergeli,https://hh.ru/vacancy/126880645
Network Specialist,СП ООО IST TELEKOM,41.30402504952918,69.32123101719532,Yashnabad,https://hh.ru/vacancy/126699632
Resort Housekeeping Manager,BELDERSOY RESORT,41.57161,69.93935,Ташкент,https://hh.ru/vacancy/125304998
Бизнес-ассистент,Murad Buildings,NULL,NULL,Ташкент,https://hh.ru/vacancy/128768940
Администратор гостиницы,OOO HOTEL MANOR,41.29618,69.282441,Mirabad,https://hh.ru/vacancy/128438625
Руководитель группы продаж,2GIS,41.326348,69.320215,Mirzo Ulugbek,https://hh.ru/vacancy/128607715
Трейд-маркетолог,ALLSET,41.316041,69.243921,Shaykhantahur,https://hh.ru/vacancy/128853000
Sales Supervisor/Specialist,ИП ООО JETOUR SOUEAST AUTOMOTIVE CENTRAL ASIAN,NULL,NULL,Ташкент,https://hh.ru/vacancy/122039231
Системный администратор,Inventors World,41.304784,69.304234,Yashnabad,https://hh.ru/vacancy/127820357
Главный специалист Управление администрирования систем защиты информации и операционного центра,Капиталбанк,NULL,NULL,Ташкент,https://hh.ru/vacancy/128466397
"Менеджер по поддержке бизнес-систем ERP (WMS, Честный знак)",DAMIRA BEVERAGES ENTERPRISE,41.298016,69.280554,Mirabad,https://hh.ru/vacancy/128726614
Инженер ПТО,XONSAROY DEVELOPMENT,41.36844,69.298475,Yunusabad,https://hh.ru/vacancy/127917535
SMM mutaxassis,ABABIN,41.20151248736419,69.23336915255456,Yangi hayot,https://hh.ru/vacancy/128570840
